DISTRICT,FEDERAL_REGION,NUMBER_OF_POLLING__CENTRES,REGISTERED_VOTERS,YOWERI__KAGUTA_MUSEVENI,IS_MUSEVENI,NOT_MUSEVENI,VALID_VOTES,INVALID_VOTES,TURN_UP,NUMBER_OF_CANDIDATES,RURAL_OR_URBAN,YEAR_OF_ELECTION,OPPOSITION_SCORE_1,CULTURAL_REGION,Sentiment_Negative,Sentiment_Neutral,Sentiment_Positive
NTUNGAMO,ANKOLE,370,186127,100077,1,41535,141612,"3,758",145370,5,2,2006,3,0,0,1,0
PADER,Acholi,285,122802,12419,0,58185,70604,"3,132",73736,5,2,2006,8,0,1,0,0
PALLISA,TESO,482,225241,82277,1,77224,159501,"6,878",166379,5,2,2006,5,0,1,0,0
RAKAI,BUGANDA,412,206289,103130,1,40399,143529,"5,625",149154,5,2,2006,3,1,0,1,0
RUKUNGIRI,KIGEZI,226,122711,60085,1,32115,92200,"2,688",94888,5,2,2006,4,0,0,1,0
SIRONKO,BUGISU,302,138013,59122,1,37436,96558,"3,145",99703,5,2,2006,4,0,0,1,0
SOROTI,TESO,290,149304,17045,0,88025,105070,"4,640",109710,5,4,2006,8,0,1,0,0
SSEMBABULE,BUGANDA,190,85016,47213,1,13648,60861,"1,477",62338,5,2,2006,2,1,0,0,1
TORORO,BUKEDI,380,164263,47549,0,62279,109828,"9,856",119684,5,6,2006,6,0,1,0,0
WAKISO,BUGANDA,759,457962,129524,0,142317,271841,"7,646",279487,5,2,2006,5,1,1,0,0
YUMBE,WEST NILE,157,76151,19832,0,26695,46527,"1,918",48445,5,2,2006,6,0,1,0,0
001 APAC,Lango,191,"114,884",41712,1,"29,961","71,673","3,087","74,760",8,2,2011,4,0,0,1,0
002 ARUA,West Nile,493,"294,523",85005,1,"69,376","154,381","9,207","163,588",8,6,2011,5,0,1,0,0
003 BUNDIBUGYO,Rwenzori,187,"93,594",45909,1,"6,894","52,803","2,401","55,204",8,2,2011,2,1,0,0,1
004 BUSHENYI,Ankole,186,"105,763",51894,1,"16,652","68,546","1,907","70,453",8,2,2011,3,0,0,0,1
005 GULU,Acholi,293,"192,669",24590,0,"60,100","84,690","5,340","90,030",8,7,2011,7,0,1,0,0
006 HOIMA,Bunyoro,301,"191,867",93070,1,"16,102","109,172","7,369","116,541",8,6,2011,2,1,0,0,1
007 IGANGA,Busoga,310,"205,411",72863,1,"31,490","104,353","3,815","108,168",8,3,2011,3,1,0,1,0
008 JINJA,Busoga,348,"236,506",74219,1,"39,704","113,923","3,261","117,184",8,8,2011,4,1,0,1,0
009 KABALE,Kigezi,438,"260,013",139676,1,"38,036","177,712","6,944","184,656",8,5,2011,2,0,0,0,1
